Democrats,Republicans,Others,Total,ED,RD,year,month,county
123,124,105,352,08,36,2018,October,Sussex
44,77,37,158,09,36,2018,October,Sussex
91,86,43,220,10,36,2018,October,Sussex
140,166,100,406,11,36,2018,October,Sussex
1089,678,537,2304,01,37,2018,October,Sussex
531,787,365,1683,02,37,2018,October,Sussex
1048,1331,814,3193,03,37,2018,October,Sussex
1308,1259,797,3364,04,37,2018,October,Sussex
1160,1026,733,2919,05,37,2018,October,Sussex
801,756,503,2060,06,37,2018,October,Sussex
598,842,426,1866,07,37,2018,October,Sussex
817,1352,664,2833,01,38,2018,October,Sussex
1118,1507,768,3393,02,38,2018,October,Sussex
1059,1447,763,3269,03,38,2018,October,Sussex
863,1161,610,2634,04,38,2018,October,Sussex
585,915,470,1970,05,38,2018,October,Sussex
958,1518,599,3075,06,38,2018,October,Sussex
